駅名,利用者数
初野,0
別保,0
別府,11954
別府大学,3864
別当賀,0
別所温泉,458
別院前,834
利別,0
利府,5586
刺巻,0
前之浜,0
前原,9578
前山,0
前川,0
前平公園,101
前後,21465
前栽,3931
前橋,21364
前橋大島,3322
前沢,1014
前浜,33
前田南,9
前畑,284
前空,4204
前谷地,0
前郷,132
剛志,1575
剣吉,410
剣淵,134
割出,478
加佐登,1263
加勢,0
加古川,47978
加太,660
加島,18628
加布里,1328
加斗,124
加治,0
加治屋町,799
加治木,3600
加納,506
加美,17068
加茂,5548
加茂中,118
加茂宮,6051
加茂郷,1340
加茂野,90
加賀温泉,3992
加賀笠間,3130
加須,13569
助信,2720
勅旨,56
勇払,0
勇知,0
動植物園入口,682
動橋,1024
動物公園,1430
動物園前,31291
務田,56
勝どき,108147
勝原,2
勝山,759
勝山町,1638
勝川,35202
勝幡,4584
勝木,0
勝沼ぶどう郷,886
勝浦,2142
勝瑞,2430
勝田,28236
勝田台,52882
勝野,0
勝間,324
勝間田,252
勢浜,64
勢野北口,1825
勾当台公園,33926
勾金,300
勿来,1666
北12条,9944
北13条東,7450
北18条,14674
北24条,28566
北34条,14394
北一已,0
北三条,732
北上,7556
北上尾,31568
北与野,20596
北中込,0
北丸森,19
北久米,1269
北久里浜,25627
北五泉,1388
北仙台,16826
北伊丹,11068
北伊予,482
北佐世保,524
北余目,0
北信太,12300
北俣,0
北八王子,19322
北内,190
北初富,5351
北剣淵,0
北加賀屋,25074
北助松,12566
北勢中央公園口,507
北千住,455250
北千束,7268
北千里,25323
北原,254
北参道,24879
北吉原,0
北吉田,0
北品川,9538
北四番丁,17154
北国分,8356
北坂戸,20020
北埠頭,1648
北堀之内,0
北大垣,326
北大宮,6321
北大曲,0
北大町,0
北大石田,0
北大路,31340
北大野,52
北天下茶屋,108
北宇和島,76
北宇智,356
北安城,1498
北小松,722
北小谷,2
北小金,49176
北山,14544
北山形,3180
北山田,28444
北岡崎,3714
北川,0
北巽,13868
北常盤,842
北広島,15410
北府,225
北府中,30552
北延岡,0
北戸田,44040
北新・松本大学前,1394
北新井,480
北新地,100794
北新川,3246
北新横浜,12471
北方,4148
北方真桑,236
北日ノ出,0
北星,0
北春日部,10406
北朝霞,141768
北本,37914
北条,0
北条町,537
北松戸,43432
北松本,1380
北柏,38546
北森,0
北楠,1791
北殿,563
北比布,0
北水海道,505
北永山,0
北永野田,0
北池袋,10036
